date,price,close,high,low,open,volume,r,pattern
2025-10-21 18:00:00,112030.90625,112283.7734375,111592.6796875,112063.5078125,4938784768,,-0.0007253371515592022,no-pattern
2025-10-21 19:00:00,111920.5234375,112202.359375,111674.796875,112044.625,0,,-0.003309908684123286,no-pattern
2025-10-21 20:00:00,110983.859375,111831.59375,110769.5703125,111831.59375,1730936832,,-0.006164361804765761,no-pattern
2025-10-21 21:00:00,110947.3515625,111144.34375,110257.671875,110940.453125,2852929536,,-0.0020558882440457893,no-pattern
2025-10-21 22:00:00,109067.3828125,110916.078125,108824.2890625,110916.078125,3574702080,,-0.01303718755814387,no-pattern
2025-10-21 23:00:00,108400.8828125,109479.4296875,108283.7578125,109110.84375,2897182720,,-0.007954776241074768,no-pattern
2025-10-22 00:00:00,108117.6953125,108612.0,107990.3359375,108380.0078125,2574352384,,-0.001135273640155532,no-pattern
2025-10-22 01:00:00,108429.015625,108488.765625,108065.5390625,108065.5390625,1776312320,,0.0014858007613032242,no-pattern
2025-10-22 02:00:00,108344.375,108650.078125,108311.5,108424.5859375,0,,-0.003639767361255153,no-pattern
2025-10-22 03:00:00,108249.3671875,108255.3359375,107950.9765625,108223.8046875,1362485248,,0.0036602601185951045,no-pattern
2025-10-22 04:00:00,108652.3046875,108652.3046875,108221.890625,108272.5546875,0,,0.00019153304647012703,no-pattern
2025-10-22 05:00:00,108213.625,108673.1171875,107948.109375,108660.0,0,,-0.0026706064584960387,no-pattern
2025-10-22 06:00:00,108066.21875,108383.28125,108036.640625,108225.796875,203685888,,-0.0003624947464260231,no-pattern
2025-10-22 07:00:00,108344.0,108344.0,107701.4140625,108053.5078125,785506304,,0.0004706842017654367,no-pattern
2025-10-22 08:00:00,108288.5078125,108395.0078125,108145.375,108383.4765625,0,,-0.0008537967884674202,no-pattern
2025-10-22 09:00:00,108006.6171875,108302.5,107867.6015625,108280.34375,0,,-0.0015244555219489087,no-pattern
2025-10-22 10:00:00,107698.8125,108137.5234375,107698.8125,108020.21875,0,,0.00039481850707723254,no-pattern
2025-10-22 11:00:00,107582.3359375,108180.2265625,106965.2265625,107724.890625,3664289792,,0.0010476151151230795,no-pattern
2025-10-22 12:00:00,108066.890625,108293.6171875,107561.6484375,107596.7578125,95485952,,0.005724486569558707,no-pattern
2025-10-22 13:00:00,108915.3203125,108915.3203125,107787.2421875,108082.375,0,,-0.0010946972229639584,no-pattern
