conf_i,ext_i,ext_p,type
10116,10115,94055.7109375,-1
10123,10116,94445.671875,1
10130,10129,90663.9453125,-1
10197,10189,99864.015625,1
10204,10203,97421.203125,-1
10240,10231,104844.671875,1
10243,10242,102802.796875,-1
10282,10280,105494.484375,1
10286,10285,99821.953125,-1
10300,10295,107747.59375,1
10301,10300,104951.78125,-1
10308,10304,103325.28125,1
10310,10309,101040.765625,-1
10336,10327,106389.25,1
10344,10342,104961.046875,-1
10348,10344,105040.6875,1
10350,10349,103731.0078125,-1
10357,10352,104082.1875,1
10362,10361,101926.875,-1
10377,10374,105202.46875,1
10378,10377,103092.6015625,-1
10401,10398,106161.6484375,1
10407,10405,104416.640625,-1
10451,10447,105032.5546875,1
10461,10459,98934.3984375,-1
10469,10467,100954.7578125,1
10472,10471,99121.1171875,-1
10497,10481,102847.6640625,1
10499,10498,100265.703125,-1
10516,10508,102666.421875,1
10517,10516,101931.6484375,-1
10548,10540,105586.6328125,1
10554,10553,103997.4765625,-1
10567,10564,104807.1015625,1
10570,10569,101644.7109375,-1
10582,10573,102455.3046875,1
10584,10583,101620.9140625,-1
10594,10590,101987.3203125,1
10597,10596,100624.8984375,-1
10600,10597,101174.7109375,1
10601,10600,99199.71875,-1
10607,10602,100122.1953125,1
10610,10609,98153.0078125,-1
10614,10611,98828.046875,1
10616,10615,96891.328125,-1
10621,10616,97661.8203125,1
10623,10622,93335.4609375,-1
10647,10642,101629.8828125,1
10651,10650,98994.765625,-1
10665,10657,99167.203125,1
10667,10666,96524.609375,-1
10686,10682,98219.3828125,1
10688,10687,96728.625,-1
10707,10702,98674.0234375,1
10713,10712,95927.078125,-1
10733,10730,98757.9140625,1
10739,10737,95765.421875,-1
10751,10743,96602.3359375,1
10757,10756,95820.09375,-1
10777,10772,97113.5625,1
10779,10778,95814.5078125,-1
10790,10788,96488.453125,1
10791,10790,95574.265625,-1
10826,10819,98307.0078125,1
10827,10826,96673.2109375,-1
10830,10827,96730.421875,1
10833,10832,95061.90625,-1
10850,10848,96087.8203125,1
10851,10850,94817.4609375,-1
10865,10861,97769.765625,1
10878,10877,95422.03125,-1
10905,10902,98268.0234375,1
10909,10907,97132.53125,-1
10946,10921,97683.6015625,1
10958,10956,96092.5078125,-1
10973,10970,96403.953125,1
10976,10975,95328.78125,-1
10988,10983,96046.2265625,1
10990,10989,95209.140625,-1
10996,10993,96132.7890625,1
11000,10998,93827.203125,-1
11070,11065,98844.078125,1
11074,11073,94939.2109375,-1
11113,11098,96617.09375,1
11123,11116,95450.5625,-1
11128,11124,96188.2109375,1
11130,11129,95293.2578125,-1
11139,11131,95723.5078125,1
11141,11140,94301.5703125,-1
11147,11141,94370.703125,1
11149,11148,91496.140625,-1
11155,11151,91973.9375,1
11160,11159,88137.5,-1
11163,11160,88905.3671875,1
11164,11163,87003.078125,-1
11185,11182,88848.34375,1
11187,11186,87072.828125,-1
11190,11187,87374.875,1
11193,11192,83783.140625,-1
11211,11207,86373.1015625,1
11212,11211,84909.34375,-1
11216,11214,84440.21875,1
11218,11217,83392.7734375,-1
11222,11219,84366.4140625,1
11230,11229,78900.1171875,-1
11251,11249,85599.203125,1
11253,11252,84719.984375,-1
11293,11291,94024.0859375,1
11297,11296,92711.625,-1
11300,11297,92817.40625,1
11302,11301,91424.125,-1
11307,11305,92888.796875,1
11308,11307,89251.515625,-1
11311,11309,89933.1015625,1
11313,11312,85509.328125,-1
11318,11315,85961.734375,1
11319,11318,83301.390625,-1
11331,11327,83699.625,1
11333,11332,82918.7734375,-1
11355,11352,89939.6875,1
11357,11356,88260.9140625,-1
11372,11369,92162.6328125,1
11375,11374,90728.7265625,-1
11377,11375,91008.4765625,1
11379,11378,89484.1953125,-1
11381,11379,89721.0,1
11384,11383,88401.6171875,-1
11389,11387,89960.765625,1
11390,11389,85383.765625,-1
11405,11401,89047.3359375,1
11406,11405,87192.9296875,-1
11409,11406,87655.828125,1
11411,11410,86304.8671875,-1
11423,11412,86542.90625,1
11425,11424,85926.3671875,-1
11446,11427,86224.375,1
11455,11454,82440.6484375,-1
11458,11456,82606.859375,1
11460,11459,80530.8828125,-1
11474,11472,82658.0078125,1
11480,11479,77814.1484375,-1
11498,11495,81475.9921875,1
11500,11499,79827.59375,-1
11511,11506,83012.2890625,1
11516,11515,81390.6875,-1
11523,11520,82867.5234375,1
11524,11523,81532.859375,-1
11538,11534,83776.1796875,1
11542,11541,82985.9609375,-1
11546,11542,83020.0625,1
11547,11546,81606.4609375,-1
11588,11575,84483.1796875,1
11593,11588,83862.0703125,-1
11615,11602,84341.96875,1
11617,11616,82408.6484375,-1
11625,11622,83656.34375,1
11628,11627,82141.4375,-1
11653,11647,84334.8046875,1
11660,11659,82453.46875,-1
11665,11660,83063.640625,1
11667,11666,81373.0234375,-1
11711,11699,86224.4140625,1
11713,11711,85210.59375,-1
11716,11714,85508.1328125,1
11718,11717,83760.6875,-1
11737,11726,84479.25,1
11738,11737,83447.1328125,-1
11819,11814,88187.421875,1
11829,11828,86463.0703125,-1
11847,11840,87867.6640625,1
11849,11848,87129.5234375,-1
11858,11855,88014.9609375,1
11864,11863,86217.6953125,-1
11881,11871,87494.6640625,1
11883,11882,86380.765625,-1
11896,11890,87317.0078125,1
11905,11903,84925.703125,-1
11907,11905,84922.453125,1
11914,11912,83733.7421875,-1
11923,11916,84335.7265625,1
11929,11928,82247.03125,-1
11956,11949,83273.1328125,1
11958,11957,82280.7890625,-1
11967,11959,82528.140625,1
11969,11968,81506.890625,-1
11984,11979,83445.890625,1
11990,11987,82388.7109375,-1
12016,12009,85168.796875,1
12020,12018,84104.1015625,-1
12033,12028,86610.2421875,1
12037,12036,82510.796875,-1
12048,12044,83520.9609375,1
12052,12051,81520.6953125,-1
12071,12069,84152.9609375,1
12073,12071,82658.6796875,-1
12091,12082,83997.1953125,1
12102,12100,82588.0703125,-1
12116,12108,83418.15625,1
12123,12122,82262.3203125,-1
12125,12123,82396.890625,1
12128,12127,79002.25,-1
12135,12129,78805.4375,1
12140,12139,74727.2265625,-1
12164,12158,79891.25,1
12167,12166,78906.515625,-1
12171,12168,79613.2265625,1
12185,12184,75322.1015625,-1
12205,12202,82979.828125,1
12210,12208,81787.625,-1
12219,12210,81853.7890625,1
12221,12220,78699.6171875,-1
12254,12248,83690.734375,1
12256,12255,82817.3671875,-1
12281,12274,85324.3515625,1
12285,12284,84401.25,-1
12290,12286,84516.328125,1
12291,12290,83541.3125,-1
12297,12294,84526.78125,1
12300,12299,83306.1796875,-1
12340,12332,85695.6875,1
12350,12349,83145.7109375,-1
12372,12364,84729.046875,1
12373,12372,84028.8828125,-1
12405,12390,85070.609375,1
12423,12412,84365.1171875,-1
12452,12434,85349.9921875,1
12458,12456,84131.7265625,-1
12485,12483,87915.1015625,1
12487,12486,86755.734375,-1
12531,12525,93950.1796875,1
12532,12531,92970.296875,-1
12544,12534,93666.6171875,1
12550,12549,92046.375,-1
12597,12583,94974.3828125,1
12610,12609,94146.0703125,-1
12617,12612,94634.1875,1
12630,12625,93781.046875,-1
12636,12632,94305.203125,1
12639,12638,92962.8671875,-1
12651,12648,95123.1875,1
12654,12653,93775.1171875,-1
12682,12679,95266.8515625,1
12686,12683,94190.4296875,-1
12698,12695,94962.328125,1
12699,12698,93076.7421875,-1
12754,12748,97365.796875,1
12770,12767,95929.296875,-1
12789,12771,96360.21875,1
12808,12806,93925.046875,-1
12819,12810,94582.8671875,1
12821,12820,93751.25,-1
12839,12826,94753.265625,1
12842,12840,93766.890625,-1
12855,12853,97220.3125,1
12859,12858,96374.7890625,-1
12987,12960,104545.453125,1
12989,12988,102509.984375,-1
12991,12989,102569.453125,1
12992,12991,101665.6796875,-1
12999,12995,102845.4140625,1
13001,13000,101711.2109375,-1
13022,13016,104505.4375,1
13030,13029,103240.2890625,-1
13046,13032,103916.7265625,1
13056,13055,101825.0625,-1
13093,13071,104033.7421875,1
13095,13094,102851.546875,-1
13136,13132,105181.0,1
13137,13136,103938.015625,-1
13143,13139,105538.1640625,1
13148,13147,102230.015625,-1
13172,13169,106108.6171875,1
13179,13178,104459.1953125,-1
13196,13194,107370.0234375,1
13200,13198,106233.625,-1
13206,13204,108768.5078125,1
13207,13206,106599.0234375,-1
13242,13236,111424.8046875,1
13245,13243,110499.703125,-1
13248,13245,110896.65625,1
13250,13249,108413.2578125,-1
13256,13250,109566.0703125,1
13262,13260,107334.59375,-1
13283,13271,109102.0546875,1
13286,13285,107426.5859375,-1
13293,13289,108001.4609375,1
13296,13295,106978.171875,-1
13327,13315,109813.15625,1
13330,13327,109114.0,-1
13334,13330,109215.8828125,1
13336,13335,108320.9765625,-1
13354,13348,110033.984375,1
13373,13372,107139.46875,-1
13394,13391,108728.6015625,1
13401,13400,105730.46875,-1
13412,13401,106154.75,1
13413,13412,105030.484375,-1
13421,13415,105755.03125,1
13422,13421,103867.3046875,-1
13430,13425,104602.984375,1
13432,13431,103220.765625,-1
13462,13449,104713.125,1
13466,13463,103941.328125,-1
13481,13475,105535.5625,1
13483,13481,104781.6953125,-1
13486,13484,105327.0546875,1
13491,13490,103823.296875,-1
13504,13501,106208.0859375,1
13514,13509,105144.6796875,-1
13521,13515,106463.4921875,1
13533,13531,105377.859375,-1
13538,13534,105710.3671875,1
13539,13538,104797.6015625,-1
13564,13540,105155.1328125,1
13570,13569,100501.6953125,-1
13649,13639,106248.4609375,1
13652,13650,105475.234375,-1
13682,13668,109959.78125,1
13684,13683,108657.8359375,-1
13710,13692,109818.015625,1
13730,13728,106926.4140625,-1
13736,13733,107729.328125,1
13744,13743,103718.7421875,-1
13771,13764,105799.9140625,1
13783,13781,104496.6953125,-1
13809,13803,105582.1953125,1
13810,13809,104732.96875,-1
13835,13832,108560.9140625,1
13837,13836,106798.671875,-1
13844,13839,107413.1953125,1
13854,13853,103622.2734375,-1
13870,13865,105410.59375,1
13872,13871,104297.84375,-1
13923,13920,105942.71875,1
13928,13927,103179.015625,-1
13951,13942,103827.1796875,1
13953,13952,102283.765625,-1
13970,13962,102746.671875,1
13973,13972,98947.078125,-1
14065,14055,107856.9140625,1
14070,14066,106986.796875,-1
14141,14135,108147.4296875,1
14146,14145,107341.421875,-1
14155,14150,108498.96875,1
14164,14163,106823.1015625,-1
14177,14168,107562.65625,1
14186,14185,106460.5390625,-1
14223,14215,109391.3671875,1
14225,14224,108699.109375,-1
14249,14240,109821.46875,1
14266,14264,107494.0859375,-1
14327,14319,109393.1640625,1
14340,14337,107909.0625,-1
14499,14492,122311.7890625,1
14501,14500,119819.453125,-1
14510,14506,119975.0390625,1
14520,14517,116742.1171875,-1
14558,14553,119434.3125,1
14562,14560,118141.6796875,-1
14588,14585,120349.8359375,1
14591,14589,118696.71875,-1
14595,14592,119218.6796875,1
14602,14599,117372.09375,-1
14651,14644,118503.0234375,1
14654,14652,117214.59375,-1
14664,14659,119183.859375,1
14665,14664,118198.078125,-1
14671,14666,118567.09375,1
14673,14672,116762.4375,-1
14703,14699,119882.9453125,1
14712,14710,118105.0625,-1
14729,14725,118924.265625,1
14732,14731,117586.890625,-1
14749,14742,119073.21875,1
14753,14752,115443.671875,-1
14831,14826,119468.5,1
14841,14838,117665.84375,-1
14859,14852,118816.5546875,1
14861,14860,117395.640625,-1
14887,14875,118111.359375,1
14888,14887,116405.625,-1
14910,14899,118624.3828125,1
14919,14918,115335.5703125,-1
14933,14919,115619.8984375,1
14937,14936,113243.1328125,-1
14956,14945,113841.90625,1
14961,14960,112216.15625,-1
15016,15005,115186.6640625,1
15021,15020,113966.96875,-1
15027,15023,114749.8515625,1
15029,15028,112893.3046875,-1
15063,15054,115344.3828125,1
15068,15065,114371.9140625,-1
15090,15083,117344.578125,1
15098,15097,116559.890625,-1
15125,15118,117426.2578125,1
15134,15132,116485.6953125,-1
15166,15162,121982.5859375,1
15170,15169,119592.1015625,-1
15176,15172,119969.0859375,1
15192,15191,118445.1328125,-1
15234,15229,123414.03125,1
15251,15245,117883.328125,-1
15266,15260,118993.6171875,1
15274,15272,116988.03125,-1
15324,15311,118338.7109375,1
15337,15336,115016.4296875,-1
15351,15346,116543.3125,1
